source_location,target_location,coverage_type,status,reason
FYP/旧分析归档/rq1_bus_daytype_normalisation,research_record/01_model_development/method_experiments/rq1_bus_daytype_normalisation,curated_copy,retained,Day-type closure and smoothing experiment
FYP/旧分析归档/rq1_bus_ilr_transform,research_record/01_model_development/method_experiments/rq1_bus_ilr_transform,curated_copy,retained,Bus CLR-ILR coordinate validation
FYP/旧分析归档/rq1_rail_method_tests,research_record/01_model_development/method_experiments/rq1_rail_method_tests,curated_copy,retained,Rail normalisation padding and method tests
FYP/旧分析归档/rail_k_selection_validation,research_record/01_model_development/method_experiments/historical_rail_k5_k6_validation,curated_copy,retained,Historical Underground-only K validation
FYP/rq1_rail_weekend_window_sensitivity,research_record/01_model_development/formal_sensitivity_checks/rail_weekend_metric_window,curated_copy,retained,Final-label descriptor sensitivity
FYP/rq1_bus_geography_diagnostic,research_record/01_model_development/formal_sensitivity_checks/rq1_bus_geography_diagnostic,curated_copy,retained,Geography and covariance diagnostics
FYP/rq1_bus_k_selection_check,research_record/01_model_development/formal_sensitivity_checks/rq1_bus_k_selection_check,curated_copy,retained,Bus K and seed sensitivity
FYP/rq1_bus_05cutoff_sensitivity,research_record/01_model_development/formal_sensitivity_checks/rq1_bus_05cutoff_sensitivity,code_only_partial,retained,No completed verified result report was found
FYP/numbat_all_area_test,research_record/01_model_development/rail_scope_and_stability,curated_copy,retained,Final and historical Rail scope/stability evidence
FYP/rq1_bus_stoparea_clustering,research_record/01_model_development/adopted_bus_diagnostics_snapshot,curated_snapshot,retained,Fuller diagnostics surrounding the adopted Bus route
FYP/rq1_context_metrics_analysis,research_record/01_model_development/method_experiments/historical_context_metrics,curated_copy,retained,Provisional behavioural interpretation layer
FYP/旧分析归档/new_bus_LNWC_IMD_test,research_record/02_context_alternatives/historical_bus_clr_lnwc_imd,curated_copy,retained,Historical 3365-LSOA context result
FYP/rq2_new_clusters_analysis,research_record/02_context_alternatives/lnwc_radius_development,curated_copy,retained,1200m-to-800m LNWC and context development
FYP/rq2_independent_variables,research_record/02_context_alternatives/independent_variable_development,curated_copy,retained,Twenty-variable development outputs
FYP/rq2_facility_diversity_analysis,research_record/02_context_alternatives/facility_diversity,curated_copy_without_licensed_raw,retained,Reports tables and code retained but licensed POI data excluded
FYP/rq2_loac_analysis,research_record/02_context_alternatives/loac,curated_copy,retained,Alternative area classification
FYP/rq2_spatial_signatures_analysis,research_record/02_context_alternatives/spatial_signatures,curated_copy,retained,Alternative urban-form classification
FYP/rq3_mismatch_analysis,research_record/03_deferred_rq3_mismatch,stale_historical_snapshot,retained_with_warning,Outputs predate a config correction and require rerun before reuse
FYP/bus_rail_relation_analysis,research_record/04_exploratory_bus_rail_relation,curated_copy,retained,Completed exploratory cross-mode spatial analysis
FYP/lnwc_spatial_map,research_record/02_context_alternatives/historical_lnwc_spatial_map,curated_copy,retained,Earlier standalone LNWC spatial map and its generating script
FYP/_backup_pre_bus_refit_2026-08-03,,duplicate_backup,explicitly_not_copied,Updated branches are retained elsewhere
FYP/dissertation_working,paper and results/figures,final_snapshot_only,partially_retained,Submitted LaTeX PDF and paper figures retained while drafting and render caches are excluded
licensed raw datasets,data/raw and docs/data_provenance.md,provenance_only,explicitly_not_redistributed,Provider licence and file-size constraints
temporary review render and cache directories,,non_research_runtime,explicitly_not_copied,Not analytical evidence
