source_study,source_path,audited_files,hashed_files,exact_hash_matches,exact_match_pct,code_files,code_exact_matches,output_files,output_exact_matches,dominant_target_locations,unmatched_examples
FYP/rq1_bus_stoparea_only_isolated_test,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_stoparea_only_isolated_test,60,60,0,0.0,8,0,46,0,,README.md; outputs\data\bic_best_comparison.csv; outputs\data\kdiag_comparison_long.csv; outputs\data\label_ari_pairwise.csv; outputs\data\lsoa_direction_totals.csv; outputs\data\preprocessing_summary.csv; outputs\data\sample_comparison.csv; outputs\diagnostics\bus_bic_best.txt
FYP/rq1_context_metrics_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_context_metrics_analysis,28,28,0,0.0,3,0,21,0,,README.md; outputs\data\bus_cluster_metric_significance.csv; outputs\data\bus_cluster_metric_summary.csv; outputs\data\bus_cluster_signature_z.csv; outputs\data\bus_cluster_volume_band_pct.csv; outputs\data\bus_direction_balance_by_daytype_wide.csv; outputs\data\bus_unit_metrics.csv; outputs\data\cluster_metric_significance.csv
FYP/rq1_rail_weekend_window_sensitivity,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_rail_weekend_window_sensitivity,15,15,1,6.7,2,0,12,1,research_record/02_context_alternatives/lnwc_radius_development/outputs (1); research_record/02_context_alternatives/lnwc_radius_development/outputs_800m (1); results (1),outputs\data\rail_cluster_signature_z_full_window_bus_aligned.csv; outputs\data\rail_cluster_signature_z_full_window_fri_excluded.csv; outputs\data\weekend_metric_cluster_medians.csv; outputs\data\weekend_metric_rank_correlation.csv; outputs\data\weekend_metric_significance.csv; outputs\data\weekend_metric_variants.csv; outputs\data\weekend_row_comparison.csv; outputs\figures\signature_reproduction_canonical.png
FYP/rq2_facility_diversity_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq2_facility_diversity_analysis,40,39,13,33.3,2,0,23,12,research_record/02_context_alternatives/facility_diversity/outputs (13),README.md; data\source\citations_orders_3003670.txt; data\source\contents_order_3003670.txt; data\source\README.md; data\source\poi_6438516\OS-EULA-26-27.pdf; data\source\poi_6438516\docs\ADMINISTRATIVE_BOUNDARY_LOOKUPS.txt; data\source\poi_6438516\docs\CLASSIFICATION_SCHEME_v_3_4.pdf; data\source\poi_6438516\docs\DATA_SUPPLIES_JUN26.pdf
FYP/rq2_independent_variables,D:\SDS2025_workspace\CASA_FYP\FYP\rq2_independent_variables,46,46,36,78.3,9,4,32,31,research_record/02_context_alternatives/independent_variable_development/outputs (21); analysis/04_urban_context (14); research_record/02_context_alternatives/independent_variable_development/data (10); results (6),data\README.md; outputs\data\bus_cluster_matrix_rb.csv; outputs\report\METHODS_UPDATE_REMINDER_CN.md; outputs\report\REPRODUCIBILITY_CHECK.md; outputs\report\SECTION_3_2_REVISED_CN.md; src\00_download_census.py; src\02_run_association_tests.py; src\05_build_report.py
FYP/rq2_loac_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq2_loac_analysis,38,38,29,76.3,7,1,30,27,research_record/02_context_alternatives/loac/outputs (26); research_record/02_context_alternatives/loac/data (2); analysis/04_urban_context (1),outputs\data\bus_loac_audit.json; outputs\data\rail_loac_audit.json; outputs\spatial\rail_catchments_800m.geojson; src\01_build_loac_lsoa.py; src\02_bus_association.py; src\03_rail_association.py; src\04_build_report.py; src\config.py
FYP/rq2_new_clusters_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq2_new_clusters_analysis,133,133,116,87.2,9,2,116,108,research_record/02_context_alternatives/lnwc_radius_development/outputs (86); research_record/02_context_alternatives/lnwc_radius_development/outputs_800m (85); results (8); research_record/01_model_development/method_experiments/rq2test analysis (4),README.md; outputs\data\bus_cluster_metric_significance.csv; outputs\data\bus_cluster_metric_summary.csv; outputs\data\cluster_metric_significance.csv; outputs\figures\bus_context_dashboard.png; outputs\report\CONTEXT_METRICS.md; outputs\report\run_metadata_context.json; outputs\spatial\rail_catchments_1200m_allmodes.geojson
FYP/rq2_spatial_signatures_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq2_spatial_signatures_analysis,49,49,34,69.4,4,0,41,33,research_record/02_context_alternatives/spatial_signatures/outputs (34),README.md; data\source\figshare_article_16691575.json; data\source\lsoa_estimates.csv; data\source\meta.txt; data\source\ons_lsoa11_lsoa21_exact_fit_v3.csv; data\source\type_code.csv; outputs\data\bus_spatial_signature_audit.json; outputs\data\lsoa21_conversion_audit.json
FYP/rq2test analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq2test analysis,148,148,133,89.9,8,0,131,127,research_record/01_model_development/method_experiments/rq2test analysis (169); research_record/02_context_alternatives/lnwc_radius_development/outputs (2); research_record/02_context_alternatives/lnwc_radius_development/outputs_800m (2),README.md; outputs\direct_metrics\report\REPRODUCIBILITY_CHECK.md; outputs\direct_metrics\workbook\rq2_direct_metrics_results.xlsx; outputs\report\REPRODUCIBILITY_CHECK.md; outputs\spatial\rail_catchments_1200m.geojson; outputs\workbook\rq2_lnwc_baseline_results.xlsx; outputs_800m\spatial\rail_catchments_800m.geojson; src\config.py
FYP/rq3_mismatch_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\rq3_mismatch_analysis,37,37,37,100.0,9,9,20,20,research_record/03_incomplete_mobility_mismatch_analysis (37),
FYP/此前的尝试分析文件,D:\SDS2025_workspace\CASA_FYP\FYP\此前的尝试分析文件,42,42,0,0.0,5,0,37,0,,00_file_audit.py; 01_clean_lnwc.py; 02_clean_numbat_rail.py; 03_clean_bus_busto.py; 04_pilot_eda_visualisation.py; LOAC2021_allfiles\LOAC_Borough_Profiles.pdf; LOAC2021_allfiles\LOAC_Cluster_Descriptions.pdf; LOAC2021_allfiles\LOAC_Technical_Manual.pdf
FYP/旧分析归档/cluster_clean_version,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\cluster_clean_version,65,65,1,1.5,6,0,53,1,research_record/01_model_development/method_experiments/rq2test analysis (1),README.md; outputs\diagnostics\bus_bic_best.txt; outputs\diagnostics\bus_bic_grid.csv; outputs\diagnostics\bus_kdiag.csv; outputs\diagnostics\rail_bic_best.txt; outputs\diagnostics\rail_bic_grid.csv; outputs\diagnostics\rail_kdiag.csv; outputs\features\bus_meta.csv
FYP/旧分析归档/cluster_clean_version_15min,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\cluster_clean_version_15min,65,65,11,16.9,6,0,53,10,research_record/01_model_development/method_experiments/historical_reference_cluster_clean_version_fullweek (10); research_record/01_model_development/method_experiments/rq2test analysis (1),README.md; outputs\diagnostics\bus_bic_best.txt; outputs\diagnostics\bus_bic_grid.csv; outputs\diagnostics\bus_kdiag.csv; outputs\features\bus_meta.csv; outputs\features\feature_audit.txt; outputs\features\X_bus.parquet; outputs\features\X_rail.parquet
FYP/旧分析归档/cluster_clean_version_1h,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\cluster_clean_version_1h,65,65,1,1.5,6,0,53,1,research_record/01_model_development/method_experiments/rq2test analysis (1),README.md; outputs\diagnostics\bus_bic_best.txt; outputs\diagnostics\bus_bic_grid.csv; outputs\diagnostics\bus_kdiag.csv; outputs\diagnostics\rail_bic_best.txt; outputs\diagnostics\rail_bic_grid.csv; outputs\diagnostics\rail_kdiag.csv; outputs\features\bus_meta.csv
FYP/旧分析归档/cluster_clean_version_grouped,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\cluster_clean_version_grouped,175,175,1,0.6,10,0,156,1,research_record/01_model_development/method_experiments/rq2test analysis (1),README.md; outputs\diagnostics\bus_weekday_bic_best.txt; outputs\diagnostics\bus_weekday_bic_grid.csv; outputs\diagnostics\bus_weekday_kdiag.csv; outputs\diagnostics\bus_weekend_bic_best.txt; outputs\diagnostics\bus_weekend_bic_grid.csv; outputs\diagnostics\bus_weekend_kdiag.csv; outputs\diagnostics\rail_weekday_bic_best.txt
FYP/旧分析归档/new_bus_LNWC_IMD_test,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\new_bus_LNWC_IMD_test,25,25,0,0.0,2,0,20,0,,README.md; outputs\input_manifest.csv; outputs\data\bus_k4_context_lsoa.csv; outputs\data\k3_k4_crosswalk_counts.csv; outputs\data\k3_k4_external_effect_sensitivity.csv; outputs\data\k4_cluster_context_summary.csv; outputs\data\k4_imd_dunn_pairwise.csv; outputs\data\k4_imd_kruskal.csv
FYP/旧分析归档/rail_k_selection_validation,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rail_k_selection_validation,32,32,0,0.0,2,0,24,0,,METHOD_PROTOCOL.md; README.md; requirements.txt; run_validation.ps1; outputs\data\bootstrap_cluster_stability_iterations.csv; outputs\data\bootstrap_cluster_stability_summary.csv; outputs\data\bootstrap_global_stability_iterations.csv; outputs\data\bootstrap_global_stability_summary.csv
FYP/旧分析归档/rq1_bus_activity_tiered_reclustering,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_activity_tiered_reclustering,23,23,17,73.9,5,0,13,13,research_record/01_model_development/method_experiments/rq1_bus_activity_tiered_reclustering (17),README.md; src\01_threshold_selection.py; src\02_coverage_tiers.py; src\03_recluster_reliable_core.py; src\04_validate_reliable_core.py; src\05_figures.py
FYP/旧分析归档/rq1_bus_daytype_normalisation,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_daytype_normalisation,148,148,134,90.5,6,0,133,127,research_record/01_model_development/method_experiments/rq1_bus_daytype_normalisation (134),README.md; outputs\B5_NOT_RUN.md; outputs\features\raw_counts_min36.parquet; outputs\features\X_daytype_clr_a033.parquet; outputs\features\X_daytype_clr_a1.parquet; outputs\features\X_daytype_raw_share.parquet; outputs\features\X_daytype_raw_share_strict.parquet; outputs\features\X_fullweek_raw_share_strict.parquet
FYP/旧分析归档/rq1_bus_hellinger_transform,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hellinger_transform,55,55,0,0.0,2,0,48,0,,README.md; outputs\input_manifest.csv; outputs\run_environment.json; outputs\data\hellinger_borough_cluster_shares.csv; outputs\data\hellinger_howard_central_outer.csv; outputs\diagnostics\cross_transform_label_ari.csv; outputs\diagnostics\hellinger_bic_grid.csv; outputs\diagnostics\hellinger_bootstrap.csv
FYP/旧分析归档/rq1_bus_hub_first_alpha_grid_screen,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_alpha_grid_screen,24,24,21,87.5,2,0,19,19,research_record/01_model_development/method_experiments/rq1_bus_hub_first_alpha_grid_screen (21),README.md; src\run_alpha_grid_screen.py; src\run_bic_k_search_by_alpha.py
FYP/旧分析归档/rq1_bus_hub_first_isolated_test,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_isolated_test,33,33,26,78.8,5,0,24,23,research_record/01_model_development/method_experiments/rq1_bus_hub_first_isolated_test (26),README.md; outputs\features\X_bus.parquet; src\01_build_features.py; src\02_cluster.py; src\03_compare_to_original.py; src\04_figures.py; src\config.py
FYP/旧分析归档/rq1_bus_hub_first_reclustering,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_reclustering,63,63,55,87.3,3,0,56,53,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reclustering (57),README.md; outputs\diagnostics\bus_fullweek_bic_grid.csv; outputs\diagnostics\bus_fullweek_bic_grid.partial.csv; outputs\features\X_bus_fullweek_alpha5.parquet; outputs\report\STABILITY_SYNTHESIS.md; src\config.py; src\run_fullweek_first_pass.py; src\summarise_k3_candidate.py
FYP/旧分析归档/rq1_bus_hub_first_reclustering_alpha_sensitivity,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_reclustering_alpha_sensitivity,46,46,0,0.0,3,0,40,0,,README.md; outputs\input_manifest.csv; outputs\run_environment.json; outputs\diagnostics\alpha0_bic_grid.csv; outputs\diagnostics\alpha0_bic_grid.partial.csv; outputs\diagnostics\alpha0_cluster_profiles_k2_k8.csv; outputs\diagnostics\alpha0_cluster_sizes_k2_k8.csv; outputs\diagnostics\alpha0_full_bootstrap.csv
FYP/旧分析归档/rq1_bus_hub_first_reclustering_rank58,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_reclustering_rank58,53,53,1,1.9,2,0,48,1,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reclustering (1),README.md; outputs\input_manifest.csv; outputs\run_environment.json; outputs\diagnostics\exact_duplicate_columns.csv; outputs\diagnostics\full_covariance_bootstrap_raw72_vs_rank58.csv; outputs\diagnostics\full_covariance_invariance_check.json; outputs\diagnostics\full_covariance_raw72_vs_rank58.csv; outputs\diagnostics\rank58_adjacent_k.csv
FYP/旧分析归档/rq1_bus_hub_first_reliable_core_assignment,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_reliable_core_assignment,92,92,79,85.9,10,0,70,70,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reliable_core_assignment (99),README.md; outputs\report\LITERATURE_LOW_FLOW_THRESHOLD_DECISION.md; outputs\report\SCREENING_SYNTHESIS.md; src\01_threshold_screen.py; src\02b_bottom20_full_covariance_kdiag.py; src\02_bottom20_excluded_bic.py; src\03_bottom20_k3_k4_profiles_and_maps.py; src\04_literature_mean1ph_k3_k4_maps.py
FYP/旧分析归档/rq1_bus_hub_first_reorganisation,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_first_reorganisation,20,20,0,0.0,1,0,17,0,,README.md; outputs\data\boundary_inclusion_changes.csv; outputs\data\core_case_hub_assignment.csv; outputs\data\core_case_hub_totals.csv; outputs\data\input_manifest.csv; outputs\data\lsoa_direction_eligibility.csv; outputs\data\lsoa_group_direction_eligibility.csv; outputs\data\lsoa_old_vs_hub_first_totals.csv
FYP/旧分析归档/rq1_bus_hub_zero_audit,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_hub_zero_audit,11,11,0,0.0,1,0,8,0,,README.md; outputs\data\audit_summary.csv; outputs\data\hub_lsoa_direction_summary.csv; outputs\data\input_manifest.csv; outputs\data\logical_hub_summary.csv; outputs\data\lsoa_clustering_eligibility.csv; outputs\data\lsoa_direction_zero_audit.csv; outputs\data\lsoa_total_consistency_check.csv
FYP/旧分析归档/rq1_bus_ilr_transform,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_bus_ilr_transform,40,40,34,85.0,3,0,34,32,research_record/01_model_development/method_experiments/rq1_bus_ilr_transform (36),README.md; outputs\features\X_bus_fullweek_ilr70.parquet; outputs\features\X_bus_fullweek_ilr_rank58.parquet; src\01_run_ilr_clustering.py; src\02_ilr_profiles_and_maps.py; src\03_ilr_kdiag_figure.py
FYP/旧分析归档/rq1_rail_ilr_sensitivity,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_rail_ilr_sensitivity,109,109,0,0.0,3,0,96,0,,METHOD_PROTOCOL.md; README.md; requirements.txt; run_validation.ps1; outputs\input_manifest.csv; outputs\data\helmert_ilr_basis_172.csv; outputs\data\rail_transform_driver_metrics.csv; outputs\data\raw_vs_ilr_k5_best_mapping.csv
FYP/旧分析归档/rq1_rail_method_tests,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\rq1_rail_method_tests,159,159,146,91.8,10,2,141,137,research_record/01_model_development/method_experiments/rq1_rail_method_tests (148),README.md; outputs\features\X_daytype_padded.parquet; outputs\features\X_daytype_unpadded.parquet; outputs\features\X_fullweek_padded.parquet; outputs\features\X_fullweek_unpadded.parquet; src\01_prepare_features.py; src\03_compare.py; src\05_diagnostic_figures.py
FYP/旧分析归档/巴士15分钟&1小时稳定性验证,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\巴士15分钟&1小时稳定性验证,44,44,0,0.0,1,0,40,0,,README.md; outputs\data\bus_meta_same_source.csv; outputs\data\cluster_signatures.csv; outputs\data\cross_resolution_agreement.csv; outputs\data\cross_resolution_contingency_long.csv; outputs\data\data_audit.csv; outputs\data\input_manifest.csv; outputs\data\interpretability_metrics.csv
FYP/旧分析归档/巴士聚类错误修改,D:\SDS2025_workspace\CASA_FYP\FYP\旧分析归档\巴士聚类错误修改,63,63,1,1.6,6,0,52,1,research_record/01_model_development/method_experiments/rq1_bus_hub_first_reliable_core_assignment (1),README.md; outputs\input_manifest.csv; outputs\run_environment.json; outputs\diagnostics\bus_fullweek_adjacent_k.csv; outputs\diagnostics\bus_fullweek_bic_grid.csv; outputs\diagnostics\bus_fullweek_bic_grid.partial.csv; outputs\diagnostics\bus_fullweek_bootstrap.csv; outputs\diagnostics\bus_fullweek_bootstrap_cluster_recovery.csv
FYP/_backup_pre_bus_refit_2026-08-03/bus_rail_relation_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\_backup_pre_bus_refit_2026-08-03\bus_rail_relation_analysis,16,16,0,0.0,0,0,15,0,,outputs\data\bus_rail_link_table.csv; outputs\data\stoparea_nearest_rail.csv; outputs\data\test_a2_c1_share_by_band_and_ring.csv; outputs\data\test_a2_composition_by_band.csv; outputs\data\test_a2_counts_by_band.csv; outputs\data\test_a_distance_by_cluster.csv; outputs\data\test_a_distance_tests.csv; outputs\data\test_b_contingency_1200m.csv
FYP/_backup_pre_bus_refit_2026-08-03/rq1_bus_stoparea_clustering,D:\SDS2025_workspace\CASA_FYP\FYP\_backup_pre_bus_refit_2026-08-03\rq1_bus_stoparea_clustering,222,222,0,0.0,0,0,214,0,,outputs\clr\run_environment.json; outputs\clr\data\central_outer_diagnostic.csv; outputs\clr\diagnostics\bic_grid.csv; outputs\clr\diagnostics\bootstrap.csv; outputs\clr\diagnostics\cluster_homogeneity.csv; outputs\clr\diagnostics\kdiag.csv; outputs\clr\diagnostics\kdiag_full.csv; outputs\clr\figures\bic_grid.png
FYP/_backup_pre_bus_refit_2026-08-03/rq2_independent_variables,D:\SDS2025_workspace\CASA_FYP\FYP\_backup_pre_bus_refit_2026-08-03\rq2_independent_variables,23,23,0,0.0,0,0,22,0,,outputs\data\association_tests.csv; outputs\data\bus_cluster_matrix_rb.csv; outputs\data\bus_cluster_matrix_stars.csv; outputs\data\bus_cluster_matrix_z.csv; outputs\data\bus_cluster_profile.csv; outputs\data\bus_variables.csv; outputs\data\bus_variable_correlations.csv; outputs\data\per_cluster_tests.csv
FYP/_backup_pre_bus_refit_2026-08-03/rq2_loac_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\_backup_pre_bus_refit_2026-08-03\rq2_loac_analysis,29,29,0,0.0,0,0,28,0,,outputs\data\bus_loac_audit.json; outputs\data\bus_loac_crosstab_col_pct.csv; outputs\data\bus_loac_crosstab_counts.csv; outputs\data\bus_loac_crosstab_expected.csv; outputs\data\bus_loac_crosstab_row_pct.csv; outputs\data\bus_loac_enrichment.csv; outputs\data\bus_loac_lsoa.csv; outputs\data\bus_loac_standardized_residuals.csv
FYP/_backup_pre_bus_refit_2026-08-03/rq2_new_clusters_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\_backup_pre_bus_refit_2026-08-03\rq2_new_clusters_analysis,63,63,2,3.2,0,0,59,2,research_record/01_model_development/method_experiments/rq2test analysis (2); research_record/02_context_alternatives/lnwc_radius_development/outputs (2); research_record/02_context_alternatives/lnwc_radius_development/outputs_800m (2),outputs\data\bus_analysis_lsoa.csv; outputs\data\bus_cluster_metric_significance.csv; outputs\data\bus_cluster_metric_summary.csv; outputs\data\bus_cluster_signature_z.csv; outputs\data\bus_cluster_volume_band_pct.csv; outputs\data\bus_cluster_vs_imd_kruskal.csv; outputs\data\bus_crosstab_col_pct.csv; outputs\data\bus_crosstab_counts.csv
FYP/data_processing/bus_stoparea,D:\SDS2025_workspace\CASA_FYP\FYP\data_processing\bus_stoparea,25,25,0,0.0,2,0,19,0,,README.md; outputs\audit\input_manifest.csv; outputs\audit\legacy_comparison.csv; outputs\audit\runtime_versions.csv; outputs\data\lsoa_direction_totals.csv; outputs\data\preprocessing_summary.csv; outputs\preprocessed\bus_lsoa_night_long.parquet; outputs\preprocessed\bus_stoparea_night_qhr_all.parquet
FYP/data_processing/rail_allmodes,D:\SDS2025_workspace\CASA_FYP\FYP\data_processing\rail_allmodes,18,18,4,22.2,4,0,12,4,research_record/01_model_development/rail_scope_and_stability/outputs (4),README.md; outputs\data\colocated_station_merge_crosswalk.csv; outputs\data\numbat_allmodes_multiday_audit.json; outputs\data\numbat_allmodes_station_meta_merged.csv; outputs\data\numbat_allmodes_station_qhr_all_daytypes.parquet; outputs\data\numbat_allmodes_station_qhr_all_daytypes_merged.parquet; outputs\data\rail_allmodes_coords.csv; outputs\preprocessed\numbat_allmodes_station_meta_final.csv
FYP/outputs/busto_cluster_diag,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_cluster_diag,14,14,0,0.0,0,0,14,0,,weekday\busto_weekday_gmm_k_diagnostics.csv; weekday\busto_weekday_k7_labels.csv; weekday\busto_weekday_k7_representative.csv; weekday\busto_weekday_k_diagnostics.png; weekday\busto_weekday_meta.csv; weekday\busto_weekday_profiles.png; weekday\busto_weekday_X.parquet; weekend\busto_weekend_gmm_k_diagnostics.csv
FYP/outputs/busto_lsoa_2000_featv2,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_2000_featv2,35,35,0,0.0,0,0,35,0,,weekday_AF_scatter.png; weekday_diag_v2.csv; weekday_featv2.csv; weekday_kdiag_v2.csv; weekday_kdiag_v2.png; weekend_AF_scatter.png; weekend_diag_v2.csv; weekend_featv2.csv
FYP/outputs/busto_lsoa_2000_featv2_FS,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_2000_featv2_FS,32,32,0,0.0,0,0,32,0,,weekday_featv2.csv; weekday_kdiag_v2.csv; weekday_kdiag_v2.png; weekend_featv2.csv; weekend_kdiag_v2.csv; weekend_kdiag_v2.png; candidates\weekday_candidate_summary.csv; candidates\weekday_k2_labels.csv
FYP/outputs/busto_lsoa_2000_gmm,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_2000_gmm,8,8,0,0.0,0,0,8,0,,weekday\weekday_bus_cluster_map.png; weekday\weekday_k4_labels.csv; weekday\weekday_kdiag.png; weekday\weekday_profiles.png; weekend\weekend_bus_cluster_map.png; weekend\weekend_k4_labels.csv; weekend\weekend_kdiag.png; weekend\weekend_profiles.png
FYP/outputs/busto_lsoa_cluster,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_cluster,10,10,0,0.0,0,0,10,0,,weekday\weekday_k11_labels.csv; weekday\weekday_k_diagnostics.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_profiles.png; weekday\X_weekday.parquet; weekend\weekend_k13_labels.csv; weekend\weekend_k_diagnostics.csv; weekend\weekend_k_diagnostics.png
